,Open,High,Low,Close,Volume
2026-03-16,167.74000549316406,167.74000549316406,165.02000427246094,165.4600067138672,1676463.0
2026-03-17,165.63999938964844,167.25999450683594,163.8000030517578,166.24000549316406,2458959.0
2026-03-18,165.1999969482422,166.6999969482422,161.24000549316406,161.44000244140625,3129716.0
2026-03-19,159.0,162.52000427246094,157.67999267578125,160.0,3819500.0
2026-03-20,161.0,161.22000122070312,151.22000122070312,153.82000732421875,9373510.0
2026-03-23,150.4600067138672,161.52000427246094,150.39999389648438,153.86000061035156,4165368.0
2026-03-24,149.75999450683594,151.0399932861328,146.0,147.6199951171875,4380715.0
2026-03-25,148.77999877929688,150.5399932861328,145.36000061035156,146.89999389648438,3757697.0
2026-03-26,145.39999389648438,148.0800018310547,143.52000427246094,144.63999938964844,3752998.0
2026-03-27,145.74000549316406,147.32000732421875,142.10000610351562,142.55999755859375,3568581.0
2026-03-30,142.94000244140625,147.1999969482422,142.77999877929688,147.02000427246094,3074669.0
2026-03-31,147.6999969482422,149.1999969482422,145.82000732421875,146.89999389648438,3271596.0
2026-04-01,149.4600067138672,151.1199951171875,145.82000732421875,148.86000061035156,3180299.0
2026-04-02,146.60000610351562,149.3000030517578,144.33999633789062,148.89999389648438,1928056.0
2026-04-07,148.05999755859375,150.10000610351562,144.10000610351562,145.22000122070312,1971337.0
2026-04-08,152.1999969482422,154.66000366210938,148.55999755859375,149.6999969482422,3395450.0
2026-04-09,147.10000610351562,147.5399932861328,137.5399932861328,139.5,4350277.0
2026-04-10,139.63999938964844,142.13999938964844,138.44000244140625,139.3800048828125,3951579.0
2026-04-13,138.47999572753906,142.5,138.0,142.5,2057774.0
2026-04-14,143.72000122070312,145.5,142.44000244140625,143.4600067138672,2534544.0
2026-04-15,143.72000122070312,146.6999969482422,142.94000244140625,146.5399932861328,2324674.0
2026-04-16,147.5399932861328,152.86000061035156,147.13999938964844,151.66000366210938,2670491.0
2026-04-17,152.02000427246094,159.39999389648438,151.89999389648438,156.24000549316406,4233873.0
2026-04-20,152.8800048828125,153.16000366210938,149.86000061035156,150.1999969482422,2407016.0
2026-04-21,152.22000122070312,153.4600067138672,150.3000030517578,151.16000366210938,2598088.0
2026-04-22,151.36000061035156,152.32000732421875,147.44000244140625,149.82000732421875,2486738.0
2026-04-23,144.3000030517578,147.0399932861328,140.22000122070312,140.6999969482422,3994908.0
2026-04-24,148.13999938964844,150.94000244140625,146.4199981689453,147.27999877929688,4394579.0
2026-04-27,148.10000610351562,150.72000122070312,146.8000030517578,148.9600067138672,2068745.0
2026-04-28,148.60000610351562,150.05999755859375,147.5399932861328,148.8800048828125,1734214.0
2026-04-29,150.24000549316406,150.24000549316406,144.5800018310547,145.8800048828125,1784169.0
2026-04-30,144.47999572753906,147.55999755859375,144.0,145.5,2631605.0
